
root@jravi:/home/jravi# g++ -o main main.cpp
root@jravi:/home/jravi# ./main
Server listening on 127.0.0.1:8080
Order Book:
 Bid Price   Bid Quantity Ask Price   Ask Quantity
    189.16           8.09    114.18           6.49
    189.15          49.47    114.28          23.93
    188.91          16.53    114.30          28.85
    188.37           2.62    114.31          42.68
    188.19          15.52    114.62          23.88
    188.06          17.26    114.64          19.71
    188.05          47.03    114.66          33.87
    187.74          12.92    114.79          25.03
    187.72          12.75    114.86           8.74
    187.65          31.47    115.05          42.23
    187.64           2.86    115.08           7.03
    187.51           4.16    115.15          21.98
    187.44          30.23    115.15          17.32
    187.29          22.20    115.44           6.02
    187.16          30.90    115.61          23.06
    187.09          19.83    115.73          32.72
    186.93          46.38    115.80          16.68
    186.91          38.51    115.81          36.75
    186.88           5.31    115.81          11.20
    186.72           4.03    115.92           2.50
    186.66          22.88    116.06          47.95
    186.55          44.55    116.07          35.11
    186.51          49.20    116.08          35.10
    186.42           5.06    116.12          45.52
    186.32          36.19    116.12          40.33
    186.24          23.63    116.17          32.64
    186.16           1.18    116.22           1.27
    186.10          15.81    116.64          13.32
    185.98          45.85    116.66          18.17
    185.92          40.73    116.74          18.64
    185.87          47.20    116.84          15.06
    185.70           3.07    116.86          49.25
    185.66          12.34    117.04           1.71
    185.60          20.50    117.08          40.08
    185.57          14.06    117.11          39.49
    185.54          11.95    117.12           5.28
    185.52          45.56    117.48           2.33
    185.41           1.55    117.53          33.17
    185.35          27.48    117.54          45.49
    185.34          48.29    117.68          44.72
    185.26          23.05    117.74          15.57
    185.17          28.29    117.80           7.64
    184.85          26.43    117.91          34.59
    184.67          38.12    117.96          26.32
    184.64           5.32    118.05          17.94
    184.53          10.48    118.13          10.17
    184.49          16.99    118.14          22.28
    184.37           3.88    118.21          35.61
    184.23          18.22    118.57          31.86
    184.16          34.55    118.59          32.09
    184.08          40.69    118.82          10.96
    184.00          18.83    118.85          37.67
    183.87          49.74    118.86          41.19
    183.79          16.49    118.95          43.79
    183.58          22.83    118.98           4.19
    183.57          19.02    119.03          25.61
    183.51           7.06    119.04           6.38
    183.47          31.07    119.14          21.79
    183.46          20.18    119.14          37.52
    183.23          47.32    119.35          36.08
    183.20          42.66    119.47          33.69
    182.53          47.45    119.73           7.19
    182.47          30.60    120.16          10.24
    182.39          16.87    120.17          37.97
    182.27          37.61    120.22          22.08
    182.14           9.39    120.22          22.08
    181.96          30.55    120.24          23.70
    181.79          19.86    120.46          24.47
    181.76          10.69    120.71          47.25
    181.67          14.38    120.79          16.05
    181.58          11.87    120.80           7.29
    181.33          22.24    120.82          27.17
    181.30          26.76    121.01          25.18
    181.21          36.94    121.04          10.99
    181.20          33.89    121.08          49.55
    181.12          35.40    121.17          24.43
    180.90           8.58    121.21          47.77
    180.75           8.96    121.44          42.15
    180.53          22.44    121.75           5.57
    180.47          25.47    121.77          17.61
    180.43          21.67    121.78          37.88
    180.34          15.48    121.84          45.05
    180.19          35.78    121.86          40.53
    180.18          43.02    122.28           9.02
    180.10          28.25    122.29          30.24
    179.99          43.19    122.35          26.30
    179.94          45.77    122.40          10.73
    179.92          29.63    122.62          33.76
    179.88          40.06    122.76          23.12
    179.79          26.98    122.80           5.47
    179.72           2.98    122.91           1.43
    179.71          19.53    123.01           3.83
    179.36           1.24    123.14           5.47
    179.36          43.31    123.22           6.08
    179.34          44.21    123.49           7.15
    179.11          35.25    123.50          28.82
    179.03           6.08    123.72          35.89
    179.02          39.51    123.79          26.76
    179.00          18.63    123.89          24.39
    178.90          21.87    124.02           4.53
    178.86          16.01    124.03          36.85
    178.79          46.21    124.08          41.72
    178.73          24.27    124.19          19.30
    178.27          45.84    124.25          11.15
    178.17          45.61    124.36          20.15
    178.12          10.99    124.42          49.72
    178.09          16.78    125.11          13.65
    177.94           1.02    125.14          35.63
    177.84          18.48    125.18          34.45
    177.82          25.04    125.24          47.09
    177.78          18.75    125.38          35.43
    177.72           7.73    125.44          41.43
    177.71          32.64    125.47          30.64
    177.71          11.83    125.51           3.18
    177.68          13.79    125.83          12.06
    177.56          17.55    125.95          27.86
    177.47          36.40    126.25           9.97
    177.33          39.59    126.25          35.11
    177.32          33.45    126.42          29.26
    176.86          24.86    126.49          15.60
    176.85           4.71    126.54          24.77
    176.84          35.18    126.64           4.14
    176.67          16.78    126.77          44.49
    176.47          30.74    127.03          20.24
    176.35           7.37    127.04          40.04
    176.25          22.73    127.05          45.02
    176.22           3.90    127.08          37.16
    176.16          15.91    127.12          10.63
    176.13          35.03    127.13          12.05
    176.10          35.40    127.16          19.23
    175.82          25.51    127.17          45.76
    175.71          30.55    127.41          17.12
    175.69          37.24    127.43           7.25
    175.08          34.14    127.51          17.33
    174.85          10.11    127.60          31.69
    174.39           4.49    127.81          46.66
    174.21          49.76    127.81          30.97
    174.14          19.22    127.81           1.64
    174.08          11.46    127.86          39.65
    174.06           1.56    127.99          12.43
    173.93          34.93    128.06          16.50
    173.70          40.05    128.23          25.66
    173.70           3.24    128.32          15.61
    173.51          42.71    128.37          26.43
    173.37           6.15    128.59          42.66
    173.35          24.26    128.62          16.61
    173.29           6.87    128.70          44.45
    173.01          33.15    128.94          31.31
    172.94          18.17    128.94          25.74
    172.91          48.72    128.94          17.20
    172.90          19.78    128.95          17.48
    172.88          32.80    128.96          35.02
    172.68          20.26    129.18          49.00
    172.49          19.08    129.33          16.01
    172.35          47.93    129.33          33.75
    172.20          24.77    129.42          34.72
    172.06          20.84    129.49          49.17
    172.01          23.66    129.72          14.41
    171.86          35.37    129.84          46.85
    171.67          40.09    129.97          31.10
    171.57           9.72    130.01          45.20
    171.46          22.69    130.16          13.74
    171.09          20.39    130.21          46.36
    170.84          29.93    130.24          43.95
    170.56          44.78    130.27          46.97
    170.54           4.06    130.31          17.18
    170.44           1.09    130.47          12.47
    170.37           1.15    130.52          18.60
    170.08          25.33    130.65           7.31
    170.04           5.21    130.79          14.26
    169.65          16.54    130.85          34.51
    169.56           8.34    131.14          37.96
    169.15          44.54    131.15          45.19
    168.93          18.19    131.15           2.52
    168.80          22.38    131.27          43.64
    168.74          22.79    131.32          37.19
    168.66          32.16    131.41          41.15
    168.42          44.37    131.94          17.58
    168.32          14.68    131.95          36.93
    168.22          18.58    132.05          34.77
    168.14          17.95    132.26          44.10
    168.09          30.88    132.40          32.08
    168.05          29.84    132.46           7.40
    168.02           4.80    132.64          13.02
    167.96          36.58    132.76          27.58
    167.92          44.87    132.86          46.23
    167.78          27.46    132.90           9.50
    167.74           5.30    133.08          15.60
    167.71          12.59    133.08          46.94
    167.62           1.10    133.10          37.65
    167.50          34.22    133.23          24.69
    167.20          44.41    133.36           3.68
    167.13          20.68    133.38          32.03
    166.99          26.08    133.39          37.27
    166.90          14.82    133.42          20.75
    166.73          21.23    133.59          40.05
    166.68          46.41    133.65           1.53
    166.54          13.10    133.93           7.84
    166.42          33.23    133.96          25.85
    166.40          19.42    134.01           4.42
    166.37          49.04    134.34          14.75
    166.26          32.32    134.37           5.33
    166.20          28.72    134.40           6.63
    166.05          20.85    134.51           4.28
    165.92          49.89    134.75           2.32
    165.78          12.79    134.82          40.02
    165.61          29.58    134.98          24.50
    165.57          45.50    134.99          30.88
    165.55          31.11    135.01          28.81
    165.55          13.70    135.02          18.50
    165.47          12.19    135.05          19.11
    165.46          46.99    135.10          37.46
    165.23           2.62    135.24          31.21
    165.20          26.64    135.27          13.42
    164.95          21.93    135.29          43.73
    164.77          39.85    135.31          10.48
    164.75          41.38    135.38          19.53
    164.69          26.63    135.41          28.34
    164.63          10.03    135.56           6.21
    164.45          45.32    135.56          19.50
    164.41           5.18    135.90          43.85
    164.36          45.43    135.93          19.79
    164.34          41.98    135.93          46.32
    164.31           5.98    135.94           6.13
    164.30          18.42    135.98          47.85
    164.13          33.86    136.19          39.70
    164.00          24.38    136.30          48.86
    163.98          17.69    136.38          42.27
    163.83          46.78    136.45          45.91
    163.69          33.71    136.52          13.97
    163.69          49.53    136.60          49.49
    163.68          42.22    136.66          39.17
    163.44          43.84    136.75          31.90
    163.42          39.29    136.83          35.44
    163.31           5.51    136.90          16.92
    163.27          35.16    136.94          39.90
    163.12           8.57    136.98          20.43
    163.10          22.81    137.06          25.32
    163.09          13.22    137.19          12.31
    162.98          46.76    137.21          19.93
    162.95          23.34    137.29           5.31
    162.54          35.55    137.40          24.72
    162.47          27.56    137.46           4.71
    162.46           6.03    137.53          36.49
    162.38          35.13    137.61          39.01
    162.20          44.22    137.66           6.56
    162.12          30.09    137.72           9.35
    162.09          23.29    137.79          16.50
    162.07          16.64    137.80          28.82
    162.00          38.64    137.83          25.12
    161.96          48.03    137.85          30.66
    161.81           8.32    138.11          14.91
    161.79           9.97    138.15          12.34
    161.77           8.23    138.58           9.13
    161.73          33.84    138.61          38.80
    161.60          28.79    138.74          35.74
    161.37           6.82    138.92           6.10
    161.36          18.66    139.09          14.16
    161.35           7.72    139.09          36.19
    161.25          40.36    139.15          23.73
    161.22          17.17    139.25          39.83
    161.20          13.44    139.29          10.25
    161.14          23.15    139.32          26.52
    161.14          49.28    139.40          12.24
    161.02          24.29    139.42          16.44
    161.00          45.96    139.46          39.08
    160.93          17.52    139.59          23.72
    160.82          43.66    139.70          46.18
    160.76           9.56    139.72          49.23
    160.66          29.12    139.80          49.63
    160.35          43.97    139.92          28.15
    160.33          43.46    140.14          39.35
    160.27          30.22    140.19           4.65
    160.25          34.14    140.43          31.62
    160.21          47.05    140.57          38.86
    160.18          33.55    140.64          34.39
    160.02           6.12    140.83          13.33
    160.02          18.85    141.03          35.13
    159.97           7.32    141.13          22.15
    159.88          13.08    141.27           5.31
    159.79          27.97    141.28          36.79
    159.79          31.09    141.40           2.47
    159.73          29.77    141.44          13.68
    159.61          24.67    141.54          22.91
    159.60          22.75    141.75          33.89
    159.58          21.33    141.82           5.04
    159.31          18.06    141.97          41.45
    159.30          19.26    142.43          22.23
    159.13          11.04    142.49          49.20
    159.01          16.47    142.58          34.91
    158.95          11.64    142.73          44.56
    158.90          26.78    142.89          24.24
    158.65          26.96    142.95          10.18
    158.40           4.85    143.17          33.98
    158.06          19.58    143.21          21.12
    157.94          24.68    143.36          44.92
    157.84          33.83    143.55          21.81
    157.71          24.30    143.55          43.89
    157.48           7.36    143.63          31.13
    157.38          25.08    143.90          33.13
    157.34          35.45    144.06          15.20
    157.34          12.13    144.27          44.96
    157.22           9.07    144.29          43.40
    157.11          32.47    144.35          27.44
    157.07           4.58    144.46           7.40
    157.05          41.01    144.53          35.73
    156.84          41.03    144.54          36.48
    156.83          34.51    144.77           1.05
    156.80          37.96    144.79          13.99
    156.79          28.72    144.83           4.58
    156.71          31.81    145.03          32.60
    156.65          19.44    145.06          17.60
    156.49          14.38    145.06          37.08
    156.38           5.49    145.13          41.88
    156.33          44.11    145.23          41.02
    156.07          19.75    145.29          18.09
    156.07           1.45    145.45          43.10
    155.90          15.81    145.46          16.55
    155.79           2.49    145.69          35.43
    155.78          33.18    145.78           5.02
    155.68          26.78    145.83          40.27
    155.65          12.84    145.86          38.03
    155.42           9.58    145.92           5.44
    155.34          22.33    146.02          47.57
    155.26          45.64    146.05          29.31
    155.24          26.72    146.10          20.77
    155.07          37.24    146.17          24.61
    155.05          30.15    146.18           2.34
    154.49          14.63    146.42          44.65
    154.39          29.27    146.44          19.35
    154.36          32.54    146.46          10.56
    154.32          17.80    146.56          12.17
    154.21           3.58    146.87          20.86
    154.21          38.78    147.08          31.18
    154.16          48.48    147.08          27.31
    154.09          48.29    147.09          20.43
    154.07           7.72    147.10          40.71
    154.06          41.42    147.12          13.35
    154.01          17.01    147.12          33.65
    154.01          16.45    147.26          27.81
    153.79          31.10    147.29          35.47
    153.73          34.00    147.43          49.78
    153.69           9.66    147.48          46.27
    153.25          20.95    147.65          33.49
    153.13          16.66    147.68          16.87
    153.00           9.27    147.92          46.57
    152.96          28.84    148.04          30.94
    152.88          15.06    148.06           5.98
    152.65          23.50    148.06          45.62
    152.59          30.28    148.10          17.28
    152.51          45.54    148.14          39.47
    152.44           5.60    148.39          25.00
    152.37          34.01    148.44          29.79
    152.37          43.04    148.50          30.69
    152.32          44.88    148.55           6.16
    152.11          36.76    148.62          32.14
    152.09           2.15    148.85          17.84
    152.03          15.24    148.91          17.78
    151.97          40.10    149.04          39.49
    151.88          18.71    149.05           6.03
    151.86          18.99    149.07          49.09
    151.70          38.21    149.22          31.80
    151.67          17.44    149.24          15.98
    151.62          33.20    149.35          24.05
    151.49          30.56    149.41           4.30
    151.37           6.77    149.50          14.10
    151.35          30.80    149.64          45.62
    151.17          16.26    149.71          44.51
    151.04           3.68    149.76          41.44
    151.02          31.82    149.94           6.79
    150.99          17.51    149.95           5.23
    150.99           4.91    149.98          15.12
    150.67          46.38    150.02          47.28
    150.57          12.12    150.15           1.41
    150.56          46.36    150.29          45.95
    150.42          12.20    150.36          12.35
    150.36          12.35    150.42          12.20
    150.29          45.95    150.56          46.36
    150.15           1.41    150.57          12.12
    150.02          47.28    150.67          46.38
    150.00          10.00    150.99           4.91
    149.98          15.12    150.99          17.51
    149.95           5.23    151.02          31.82
    149.94           6.79    151.04           3.68
    149.76          41.44    151.17          16.26
    149.71          44.51    151.35          30.80
    149.64          45.62    151.37           6.77
    149.50          14.10    151.49          30.56
    149.41           4.30    151.62          33.20
    149.35          24.05    151.67          17.44
    149.24          15.98    151.70          38.21
    149.22          31.80    151.86          18.99
    149.07          49.09    151.88          18.71
    149.05           6.03    151.97          40.10
    149.04          39.49    152.03          15.24
    148.91          17.78    152.09           2.15
    148.85          17.84    152.11          36.76
    148.62          32.14    152.32          44.88
    148.55           6.16    152.37          43.04
    148.50          30.69    152.37          34.01
    148.44          29.79    152.44           5.60
    148.39          25.00    152.51          45.54
    148.14          39.47    152.59          30.28
    148.10          17.28    152.65          23.50
    148.06          45.62    152.88          15.06
    148.06           5.98    152.96          28.84
    148.04          30.94    153.00           9.27
    147.92          46.57    153.13          16.66
    147.68          16.87    153.25          20.95
    147.65          33.49    153.69           9.66
    147.48          46.27    153.73          34.00
    147.43          49.78    153.79          31.10
    147.29          35.47    154.01          16.45
    147.26          27.81    154.01          17.01
    147.12          33.65    154.06          41.42
    147.12          13.35    154.07           7.72
    147.10          40.71    154.09          48.29
    147.09          20.43    154.16          48.48
    147.08          27.31    154.21          38.78
    147.08          31.18    154.21           3.58
    146.87          20.86    154.32          17.80
    146.56          12.17    154.36          32.54
    146.46          10.56    154.39          29.27
    146.44          19.35    154.49          14.63
    146.42          44.65    155.00          10.00
    146.18           2.34    155.05          30.15
    146.17          24.61    155.07          37.24
    146.10          20.77    155.24          26.72
    146.05          29.31    155.26          45.64
    146.02          47.57    155.34          22.33
    145.92           5.44    155.42           9.58
    145.86          38.03    155.65          12.84
    145.83          40.27    155.68          26.78
    145.78           5.02    155.78          33.18
    145.69          35.43    155.79           2.49
    145.46          16.55    155.90          15.81
    145.45          43.10    156.07           1.45
    145.29          18.09    156.07          19.75
    145.23          41.02    156.33          44.11
    145.13          41.88    156.38           5.49
    145.06          37.08    156.49          14.38
    145.06          17.60    156.65          19.44
    145.03          32.60    156.71          31.81
    144.83           4.58    156.79          28.72
    144.79          13.99    156.80          37.96
    144.77           1.05    156.83          34.51
    144.54          36.48    156.84          41.03
    144.53          35.73    157.05          41.01
    144.46           7.40    157.07           4.58
    144.35          27.44    157.11          32.47
    144.29          43.40    157.22           9.07
    144.27          44.96    157.34          12.13
    144.06          15.20    157.34          35.45
    143.90          33.13    157.38          25.08
    143.63          31.13    157.48           7.36
    143.55          43.89    157.71          24.30
    143.55          21.81    157.84          33.83
    143.36          44.92    157.94          24.68
    143.21          21.12    158.06          19.58
    143.17          33.98    158.40           4.85
    142.95          10.18    158.65          26.96
    142.89          24.24    158.90          26.78
    142.73          44.56    158.95          11.64
    142.58          34.91    159.01          16.47
    142.49          49.20    159.13          11.04
    142.43          22.23    159.30          19.26
    141.97          41.45    159.31          18.06
    141.82           5.04    159.58          21.33
    141.75          33.89    159.60          22.75
    141.54          22.91    159.61          24.67
    141.44          13.68    159.73          29.77
    141.40           2.47    159.79          31.09
    141.28          36.79    159.79          27.97
    141.27           5.31    159.88          13.08
    141.13          22.15    159.97           7.32
    141.03          35.13    160.02          18.85
    140.83          13.33    160.02           6.12
    140.64          34.39    160.18          33.55
    140.57          38.86    160.21          47.05
    140.43          31.62    160.25          34.14
    140.19           4.65    160.27          30.22
    140.14          39.35    160.33          43.46
    139.92          28.15    160.35          43.97
    139.80          49.63    160.66          29.12
    139.72          49.23    160.76           9.56
    139.70          46.18    160.82          43.66
    139.59          23.72    160.93          17.52
    139.46          39.08    161.00          45.96
    139.42          16.44    161.02          24.29
    139.40          12.24    161.14          49.28
    139.32          26.52    161.14          23.15
    139.29          10.25    161.20          13.44
    139.25          39.83    161.22          17.17
    139.15          23.73    161.25          40.36
    139.09          36.19    161.35           7.72
    139.09          14.16    161.36          18.66
    138.92           6.10    161.37           6.82
    138.74          35.74    161.60          28.79
    138.61          38.80    161.73          33.84
    138.58           9.13    161.77           8.23
    138.15          12.34    161.79           9.97
    138.11          14.91    161.81           8.32
    137.85          30.66    161.96          48.03
    137.83          25.12    162.00          38.64
    137.80          28.82    162.07          16.64
    137.79          16.50    162.09          23.29
    137.72           9.35    162.12          30.09
    137.66           6.56    162.20          44.22
    137.61          39.01    162.38          35.13
    137.53          36.49    162.46           6.03
    137.46           4.71    162.47          27.56
    137.40          24.72    162.54          35.55
    137.29           5.31    162.95          23.34
    137.21          19.93    162.98          46.76
    137.19          12.31    163.09          13.22
    137.06          25.32    163.10          22.81
    136.98          20.43    163.12           8.57
    136.94          39.90    163.27          35.16
    136.90          16.92    163.31           5.51
    136.83          35.44    163.42          39.29
    136.75          31.90    163.44          43.84
    136.66          39.17    163.68          42.22
    136.60          49.49    163.69          49.53
    136.52          13.97    163.69          33.71
    136.45          45.91    163.83          46.78
    136.38          42.27    163.98          17.69
    136.30          48.86    164.00          24.38
    136.19          39.70    164.13          33.86
    135.98          47.85    164.30          18.42
    135.94           6.13    164.31           5.98
    135.93          46.32    164.34          41.98
    135.93          19.79    164.36          45.43
    135.90          43.85    164.41           5.18
    135.56          19.50    164.45          45.32
    135.56           6.21    164.63          10.03
    135.41          28.34    164.69          26.63
    135.38          19.53    164.75          41.38
    135.31          10.48    164.77          39.85
    135.29          43.73    164.95          21.93
    135.27          13.42    165.20          26.64
    135.24          31.21    165.23           2.62
    135.10          37.46    165.46          46.99
    135.05          19.11    165.47          12.19
    135.02          18.50    165.55          13.70
    135.01          28.81    165.55          31.11
    134.99          30.88    165.57          45.50
    134.98          24.50    165.61          29.58
    134.82          40.02    165.78          12.79
    134.75           2.32    165.92          49.89
    134.51           4.28    166.05          20.85
    134.40           6.63    166.20          28.72
    134.37           5.33    166.26          32.32
    134.34          14.75    166.37          49.04
    134.01           4.42    166.40          19.42
    133.96          25.85    166.42          33.23
    133.93           7.84    166.54          13.10
    133.65           1.53    166.68          46.41
    133.59          40.05    166.73          21.23
    133.42          20.75    166.90          14.82
    133.39          37.27    166.99          26.08
    133.38          32.03    167.13          20.68
    133.36           3.68    167.20          44.41
    133.23          24.69    167.50          34.22
    133.10          37.65    167.62           1.10
    133.08          46.94    167.71          12.59
    133.08          15.60    167.74           5.30
    132.90           9.50    167.78          27.46
    132.86          46.23    167.92          44.87
    132.76          27.58    167.96          36.58
    132.64          13.02    168.02           4.80
    132.46           7.40    168.05          29.84
    132.40          32.08    168.09          30.88
    132.26          44.10    168.14          17.95
    132.05          34.77    168.22          18.58
    131.95          36.93    168.32          14.68
    131.94          17.58    168.42          44.37
    131.41          41.15    168.66          32.16
    131.32          37.19    168.74          22.79
    131.27          43.64    168.80          22.38
    131.15           2.52    168.93          18.19
    131.15          45.19    169.15          44.54
    131.14          37.96    169.56           8.34
    130.85          34.51    169.65          16.54
    130.79          14.26    170.04           5.21
    130.65           7.31    170.08          25.33
    130.52          18.60    170.37           1.15
    130.47          12.47    170.44           1.09
    130.31          17.18    170.54           4.06
    130.27          46.97    170.56          44.78
    130.24          43.95    170.84          29.93
    130.21          46.36    171.09          20.39
    130.16          13.74    171.46          22.69
    130.01          45.20    171.57           9.72
    129.97          31.10    171.67          40.09
    129.84          46.85    171.86          35.37
    129.72          14.41    172.01          23.66
    129.49          49.17    172.06          20.84
    129.42          34.72    172.20          24.77
    129.33          33.75    172.35          47.93
    129.33          16.01    172.49          19.08
    129.18          49.00    172.68          20.26
    128.96          35.02    172.88          32.80
    128.95          17.48    172.90          19.78
    128.94          17.20    172.91          48.72
    128.94          25.74    172.94          18.17
    128.94          31.31    173.01          33.15
    128.70          44.45    173.29           6.87
    128.62          16.61    173.35          24.26
    128.59          42.66    173.37           6.15
    128.37          26.43    173.51          42.71
    128.32          15.61    173.70           3.24
    128.23          25.66    173.70          40.05
    128.06          16.50    173.93          34.93
    127.99          12.43    174.06           1.56
    127.86          39.65    174.08          11.46
    127.81           1.64    174.14          19.22
    127.81          30.97    174.21          49.76
    127.81          46.66    174.39           4.49
    127.60          31.69    174.85          10.11
    127.51          17.33    175.08          34.14
    127.43           7.25    175.69          37.24
    127.41          17.12    175.71          30.55
    127.17          45.76    175.82          25.51
    127.16          19.23    176.10          35.40
    127.13          12.05    176.13          35.03
    127.12          10.63    176.16          15.91
    127.08          37.16    176.22           3.90
    127.05          45.02    176.25          22.73
    127.04          40.04    176.35           7.37
    127.03          20.24    176.47          30.74
    126.77          44.49    176.67          16.78
    126.64           4.14    176.84          35.18
    126.54          24.77    176.85           4.71
    126.49          15.60    176.86          24.86
    126.42          29.26    177.32          33.45
    126.25          35.11    177.33          39.59
    126.25           9.97    177.47          36.40
    125.95          27.86    177.56          17.55
    125.83          12.06    177.68          13.79
    125.51           3.18    177.71          11.83
    125.47          30.64    177.71          32.64
    125.44          41.43    177.72           7.73
    125.38          35.43    177.78          18.75
    125.24          47.09    177.82          25.04
    125.18          34.45    177.84          18.48
    125.14          35.63    177.94           1.02
    125.11          13.65    178.09          16.78
    124.42          49.72    178.12          10.99
    124.36          20.15    178.17          45.61
    124.25          11.15    178.27          45.84
    124.19          19.30    178.73          24.27
    124.08          41.72    178.79          46.21
    124.03          36.85    178.86          16.01
    124.02           4.53    178.90          21.87
    123.89          24.39    179.00          18.63
    123.79          26.76    179.02          39.51
    123.72          35.89    179.03           6.08
    123.50          28.82    179.11          35.25
    123.49           7.15    179.34          44.21
    123.22           6.08    179.36          43.31
    123.14           5.47    179.36           1.24
    123.01           3.83    179.71          19.53
    122.91           1.43    179.72           2.98
    122.80           5.47    179.79          26.98
    122.76          23.12    179.88          40.06
    122.62          33.76    179.92          29.63
    122.40          10.73    179.94          45.77
    122.35          26.30    179.99          43.19
    122.29          30.24    180.10          28.25
    122.28           9.02    180.18          43.02
    121.86          40.53    180.19          35.78
    121.84          45.05    180.34          15.48
    121.78          37.88    180.43          21.67
    121.77          17.61    180.47          25.47
    121.75           5.57    180.53          22.44
    121.44          42.15    180.75           8.96
    121.21          47.77    180.90           8.58
    121.17          24.43    181.12          35.40
    121.08          49.55    181.20          33.89
    121.04          10.99    181.21          36.94
    121.01          25.18    181.30          26.76
    120.82          27.17    181.33          22.24
    120.80           7.29    181.58          11.87
    120.79          16.05    181.67          14.38
    120.71          47.25    181.76          10.69
    120.46          24.47    181.79          19.86
    120.24          23.70    181.96          30.55
    120.22          22.08    182.14           9.39
